Timestamp,Customer Query,Category,Chatbot Response,User Intent,Chatbot Response Options
1/30/2024 1:19,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/13/2024 7:03,Are there any ongoing discounts on international flights?,Discounts & Promotions,,Check for ongoing discounts,We have ongoing discounts available. Do you want to see current offers?
1/8/2024 0:09,Is there a fee to cancel or change my flight?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/7/2024 6:43,Do you offer vegetarian meal options onboard?,Flight Catering,"We offer a selection of meals, including salmon, steak, vegetarian, and vegan options. Special meals must be requested at least 24 hours before departure via [ourairline.com/meals](https://ourairline.com/meals).",Request meal options,You can pre-select meals before departure. Would you like to see the menu?
1/27/2024 7:28,Where can I check the latest status of my flight?,Flight Status,"You can check your real-time flight status on our website by entering your flight number. If you signed up for notifications, we'll send updates directly to your email or phone.",Check flight status,Please provide your flight number to check its current status.
1/19/2024 5:09,Can I check in online before my flight?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
1/18/2024 22:40,What are the current promotional offers available?,Discounts & Promotions,,Check for ongoing discounts,We have ongoing discounts available. Do you want to see current offers?
1/12/2024 23:31,Can I request a special meal before my flight?,Flight Catering,"We offer a selection of meals, including salmon, steak, vegetarian, and vegan options. Special meals must be requested at least 24 hours before departure via [ourairline.com/meals](https://ourairline.com/meals).",Request meal options,You can pre-select meals before departure. Would you like to see the menu?
1/5/2024 19:46,Do you offer vegetarian meal options onboard?,Flight Catering,"We offer a selection of meals, including salmon, steak, vegetarian, and vegan options. Special meals must be requested at least 24 hours before departure via [ourairline.com/meals](https://ourairline.com/meals).",Request meal options,You can pre-select meals before departure. Would you like to see the menu?
1/2/2024 3:19,What are the benefits for Gold members?,Loyalty Program,"Join our SkyRewards program and earn points on every flight! Redeem points for seat upgrades, extra baggage, and free flights. Sign up today at [ourairline.com/loyalty](https://ourairline.com/loyalty).",Ask about frequent flyer benefits,Our loyalty program offers rewards and discounts. Would you like to learn how to earn points?
1/6/2024 13:12,Can I check in online before my flight?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
1/25/2024 13:03,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/17/2024 7:36,Do you offer vegetarian meal options onboard?,Flight Catering,"We offer a selection of meals, including salmon, steak, vegetarian, and vegan options. Special meals must be requested at least 24 hours before departure via [ourairline.com/meals](https://ourairline.com/meals).",Request meal options,You can pre-select meals before departure. Would you like to see the menu?
1/6/2024 16:12,Can I request a special meal before my flight?,Flight Catering,"We offer a selection of meals, including salmon, steak, vegetarian, and vegan options. Special meals must be requested at least 24 hours before departure via [ourairline.com/meals](https://ourairline.com/meals).",Request meal options,You can pre-select meals before departure. Would you like to see the menu?
1/24/2024 16:13,Can I transfer my ticket to another person?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/2/2024 19:52,Can I transfer my ticket to another person?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/24/2024 11:29,What is the baggage weight limit for international flights?,Baggage Policy,Economy passengers are allowed one carry-on bag (7kg) and one checked bag (23kg). Business Class passengers can bring two checked bags (32kg each). Oversized baggage fees apply. See full details at [ourairline.com/baggage](https://ourairline.com/baggage).,Inquire about baggage allowance,Standard baggage allowance varies by ticket class. Would you like more details?
1/2/2024 0:18,Is there a fee to cancel or change my flight?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/27/2024 6:32,Can I change my flight date without a penalty?,Change Flight,,Reschedule or modify a flight,You can modify your flight online. Would you like to proceed with rescheduling?
1/21/2024 19:20,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/25/2024 10:21,Where can I check the latest status of my flight?,Flight Status,"You can check your real-time flight status on our website by entering your flight number. If you signed up for notifications, we'll send updates directly to your email or phone.",Check flight status,Please provide your flight number to check its current status.
1/23/2024 6:07,How can I book a multi-city flight?,Booking Assistance,,Manage booking or check flight options,Would you like to book a new flight or modify an existing reservation?
1/20/2024 18:50,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/6/2024 10:36,Do you offer vegetarian meal options onboard?,Flight Catering,"We offer a selection of meals, including salmon, steak, vegetarian, and vegan options. Special meals must be requested at least 24 hours before departure via [ourairline.com/meals](https://ourairline.com/meals).",Request meal options,You can pre-select meals before departure. Would you like to see the menu?
1/23/2024 18:25,Can I change my flight date without a penalty?,Change Flight,,Reschedule or modify a flight,You can modify your flight online. Would you like to proceed with rescheduling?
1/18/2024 1:51,Can I check in online before my flight?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
1/4/2024 7:17,Which new destinations will the airline add this year?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/25/2024 1:31,I had a great experience with your staff!,Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/27/2024 21:16,Can I transfer my ticket to another person?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/30/2024 18:36,How do I get my boarding pass through the app?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
2/1/2024 9:06,I had a great experience with your staff!,Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/13/2024 12:10,Can I transfer my ticket to another person?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/29/2024 21:49,Do you offer student discounts on tickets?,Ticket Price,,Inquire about ticket prices,Prices vary based on availability. Do you want to check fares for a specific route?
1/9/2024 21:29,I had a great experience with your staff!,Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/30/2024 0:37,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
2/3/2024 22:42,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/22/2024 7:50,How do I earn and redeem points in the loyalty program?,Loyalty Program,"Join our SkyRewards program and earn points on every flight! Redeem points for seat upgrades, extra baggage, and free flights. Sign up today at [ourairline.com/loyalty](https://ourairline.com/loyalty).",Ask about frequent flyer benefits,Our loyalty program offers rewards and discounts. Would you like to learn how to earn points?
1/21/2024 6:46,Where can I check the latest status of my flight?,Flight Status,"You can check your real-time flight status on our website by entering your flight number. If you signed up for notifications, we'll send updates directly to your email or phone.",Check flight status,Please provide your flight number to check its current status.
2/4/2024 23:03,How long does it take to get a refund for a ticket cancellation?,Refund Policy,,Request a refund,Refund eligibility depends on ticket type. Please enter your ticket number to check.
2/1/2024 22:01,Do you offer vegetarian meal options onboard?,Flight Catering,"We offer a selection of meals, including salmon, steak, vegetarian, and vegan options. Special meals must be requested at least 24 hours before departure via [ourairline.com/meals](https://ourairline.com/meals).",Request meal options,You can pre-select meals before departure. Would you like to see the menu?
1/8/2024 4:54,Is there a fee to cancel or change my flight?,Cancellation & Changes,You can modify your flight up to 3 hours before departure. Fees may apply depending on the fare type. Flexible tickets allow free changes. Modify your booking at [ourairline.com/manage](https://ourairline.com/manage).,Cancel or modify a booking,Would you like to cancel or reschedule your flight? Please enter your booking reference.
1/11/2024 9:42,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/14/2024 14:32,Where can I check the latest status of my flight?,Flight Status,"You can check your real-time flight status on our website by entering your flight number. If you signed up for notifications, we'll send updates directly to your email or phone.",Check flight status,Please provide your flight number to check its current status.
2/3/2024 13:40,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/2/2024 12:19,What is the process to reschedule my flight?,Change Flight,,Reschedule or modify a flight,You can modify your flight online. Would you like to proceed with rescheduling?
1/2/2024 7:40,Can I change my flight date without a penalty?,Change Flight,,Reschedule or modify a flight,You can modify your flight online. Would you like to proceed with rescheduling?
1/21/2024 7:57,I had a great experience with your staff!,Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/26/2024 6:36,What are the benefits for Gold members?,Loyalty Program,"Join our SkyRewards program and earn points on every flight! Redeem points for seat upgrades, extra baggage, and free flights. Sign up today at [ourairline.com/loyalty](https://ourairline.com/loyalty).",Ask about frequent flyer benefits,Our loyalty program offers rewards and discounts. Would you like to learn how to earn points?
2/4/2024 7:15,Are there any new routes launching soon?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
1/30/2024 5:20,I had a great experience with your staff!,Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/31/2024 21:39,I had a great experience with your staff!,Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/3/2024 16:25,How much does extra baggage cost?,Baggage Policy,Economy passengers are allowed one carry-on bag (7kg) and one checked bag (23kg). Business Class passengers can bring two checked bags (32kg each). Oversized baggage fees apply. See full details at [ourairline.com/baggage](https://ourairline.com/baggage).,Inquire about baggage allowance,Standard baggage allowance varies by ticket class. Would you like more details?
1/12/2024 0:14,How can I book a multi-city flight?,Booking Assistance,,Manage booking or check flight options,Would you like to book a new flight or modify an existing reservation?
2/5/2024 1:03,"The check-in process was too slow, please improve.",Customer Feedback,We value your feedback! Share your experience with us at [ourairline.com/feedback](https://ourairline.com/feedback) and help us improve our service.,Provide feedback on airline service,We appreciate your feedback! Would you like to leave a comment about your experience?
1/29/2024 19:19,How much does extra baggage cost?,Baggage Policy,Economy passengers are allowed one carry-on bag (7kg) and one checked bag (23kg). Business Class passengers can bring two checked bags (32kg each). Oversized baggage fees apply. See full details at [ourairline.com/baggage](https://ourairline.com/baggage).,Inquire about baggage allowance,Standard baggage allowance varies by ticket class. Would you like more details?
1/3/2024 6:21,Can I check in online before my flight?,Check-in Process,Online check-in opens 48 hours before departure. You can check in via our website or mobile app. Airport check-in counters close 60 minutes before domestic flights and 90 minutes before international flights.,Understand check-in procedures,Online check-in starts 24-48 hours before departure. Do you need help checking in?
1/29/2024 2:07,Do you offer student discounts on tickets?,Ticket Price,,Inquire about ticket prices,Prices vary based on availability. Do you want to check fares for a specific route?
1/29/2024 20:15,How do I earn and redeem points in the loyalty program?,Loyalty Program,"Join our SkyRewards program and earn points on every flight! Redeem points for seat upgrades, extra baggage, and free flights. Sign up today at [ourairline.com/loyalty](https://ourairline.com/loyalty).",Ask about frequent flyer benefits,Our loyalty program offers rewards and discounts. Would you like to learn how to earn points?
1/22/2024 10:22,Which new destinations will the airline add this year?,New Flight Routes,"We’ve recently launched new routes to Tokyo, Sydney, and Toronto! Book your seat now and be among the first to experience these exciting destinations.",Ask about new destinations,You can check our latest destinations on our website. Would you like a link?
